organism,ncbi,jgi,assembly,BioSample,BioProject
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Barnesiella_viscericola_C46_DSM_18177,NZ_CP007034,NA,GCA_000512915.1,SAMN02769649,PRJNA51771
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Butyricimonas_virosa_DSM_23226,NZ_JAEW00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Coprobacter_fastidiosus_NSB1,NZ_AWWG00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Dysgonomonas_gadei_ATCC_BAA_286_cont1.32,NZ_ADLV00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_splanchnicus_DSM_20712,NC_015160,NA,GCA_000190535.1,SAMN00713588,PRJNA43469
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Paludibacter_propionicigenes_WB4,NC_014734,NA,GCA_000183135.1,SAMN00016731,PRJNA42009
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_distasonis_ATCC_8503,NC_009615,NA,GCA_000012845.1,SAMN02604310,PRJNA13485
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_gingivalis_W83,NC_002950,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Proteiniphilum_acetatigenes_DSM_18083,NZ_ARKZ00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Tannerella_forsythensis_ATCC_43037,SAMN03176940,NA,GCA_001006485.1,SAMN03176940,PRJNA266975
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Hallella_seregens_ATCC_51272,NZ_JADU00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_xylaniphila_YIT_11841_P_xylaniphilaYIT11841_1.0_Cont168.1,NZ_AFBR00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_dentalis_ES_2772_DSM_3688,NC_019960,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_tannerae_ATCC_51259,NZ_ACIJ00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Prolixibacteraceae_Draconibacterium_orientale_FH5,NZ_CP007451,NA,GCA_000626635.1,SAMN02725840,PRJNA240267
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii_AHN_2437_DSM_17242,NC_018011,NA,GCA_000265365.1,SAMN02232007,PRJNA40775
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenella_microfusus_Q_1_DSM_15922,NZ_ATXW00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Amoebophilaceae_Candidatus_Amoebophilus_asiaticus_5a2,NC_010830,NA,GCA_000020565.1,SAMN00000287,PRJNA19981
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Algoriphagus_sp._PR1_unfinished_sequence,NZ_CM001023,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Aquiflexum_balticum_BA160_DSM_16537,SAMN00777080,NA,GCA_900176595.1,SAMN00777080,PRJEB20241
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Belliella_baltica_BA134_DSM_15883,NC_018010,NA,GCA_000265405.1,SAMN02232009,PRJNA50619
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Cecembia_lonarensis_LW9,NZ_AMGM00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Cyclobacterium_marinum_DSM_745,NC_015914,NA,GCA_000222485.1,SAMN02261369,PRJNA51773
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Echinicola_vietnamensis_KMM_6221_DSM_17526,NC_019904,NA,GCA_000325705.1,SAMN02232018,PRJNA65035
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Indibacter_alkaliphilus_LW1_Draft1,NZ_ALWO00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Mariniradius_saccharolyticus_AK6,NZ_AMZY00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Nitritalea_halalkaliphila_LW7_Draft1,NZ_AJYA00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Adhaeribacter_aquaticus_MBRG1.5_DSM_16391,NZ_AXBK00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Anditalea_andensis_LY1,NZ_JMIH00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Cytophaga_fermentans_IAM_14302_DSM_9555,NZ_AZYH00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Cytophaga_hutchinsonii_ATCC_33406,NC_008255,NA,GCA_000014145.1,SAMN02598536,PRJNA54
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Dyadobacter_fermentans_DSM_18053,NC_013037,NA,GCA_000023125.1,SAMN02598437,PRJNA20829
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Emticicia_oligotrophica_GPTSA100_15_DSM_17448,NC_018748,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Fibrella_aestuarina,NC_020054,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Fibrisoma_limi_BUZ_3,SAMEA2272395,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Flectobacillus_major_VKMB_859_DSM_103,NZ_ATXY00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Flexibacter_litoralis_Fx_l1_DSM_6794,NC_018018,NA,GCA_000265505.1,SAMN02261370,PRJNA51775
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Hymenobacter_sp._APR13,NZ_CP006587,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Leadbetterella_byssophila_DSM_17132,NC_014655,NA,GCA_000166395.1,SAMN00191237,PRJNA38283
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Microscilla_marina_ATCC_23134_unfinished_sequence,NZ_AAWS00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Pontibacter_roseus_DSM_17521,NZ_ARDO00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Rhodonellum_psychrophilum_DSM_17998,SAMN02441658,NA,GCA_000381545.1,SAMN02441658,PRJNA183058
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Rudanella_lutea_DSM_19387,NZ_ARPG00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Runella_slithyformis_LSU4_DSM_19594,NC_015703,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Spirosoma_linguale_DSM_74,CP001769,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Sporocytophaga_myxococcoides_DSM_11118,NZ_AUFX00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Cesiribacter_andamanensis_AMV16,NZ_AODQ00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Flexithrix_dorotheae_DSM_6795,NZ_ARBP00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Fulvivirga_imtechensis_AK7,NZ_AMZN00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Marivirga_tractuosa_DSM_4126,NC_014759,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Nafulsella_turpanensis_ZLM_10,NZ_ANNU00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Blattabacteriaceae_Blattabacterium_sp._Blattella_germanica_str._Bge,NC_013454,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Crocinitomix_catalasitica_ATCC_23190,NZ_JHXV00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Fluviicola_taffensis_RW262_DSM_16823,NC_015321,NA,GCA_000194605.1,SAMN00713599,PRJNA47603
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Owenweeksia_Owenweeksia_hongkongensis_DSM_17368,NC_016599,NA,GCA_000236705.1,SAMN02261417,PRJNA65297
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Aequorivita_sublithincola_QSSC9_3_DSM_14238,NC_018013,NA,GCA_000265385.1,SAMN02232006,PRJNA46631
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Aquimarina_megaterium_XH134,NZ_JACB00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Arenibacter_certesii_DSM_19833,NZ_AUCB00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Bergeyella_zoohelcum_CCUG_30536,SAMN02463903,NA,GCA_000301095.1,SAMN02463903,PRJNA52165
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Bizionia_argentinensis_JUB59_DSM_19628,NZ_AFXZ00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Capnocytophaga_ochracea_DSM_7271,NC_013162,NA,GCA_000023285.1,SAMN00001911,PRJNA29403
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Cellulophaga_lytica_HI1,NZ_CP009239,NA,GCA_000750195.1,SAMN02937577,PRJNA256111
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium_gregarium_DSM_19109,NZ_AUMU00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Croceibacter_atlanticus_HTCC2559_Re_annotation_of_existing_genome_that_was_not_originally_submitted_by_me,NC_014230,NA,GCA_000196315.1,SAMN02603922,PRJNA13570
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Donghaeana_dokdonensis_DSW_6,NC_020156,NA,GCA_000332115.1,SAMN02603479,PRJNA33015
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Elizabethkingia_anophelis_NUH6,NZ_CP007547,NA,GCA_000495935.2,SAMN02470988,PRJNA205476
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Empedobacter_brevis_ATCC_43319,NZ_ARNT00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Epilithonimonas_tenax_DSM_16811,NZ_AUAA00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Eudoraea_adriatica_DSM_19308,NZ_ARNE00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Flavobacteriaceae_bacterium_P7_3_5,NZ_ALIH00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Flavobacterium_psychrophilum_JIP0286,NC_009613,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Formosa_agariphila_KMM_3901,NZ_HG315671,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Gaetbulibacter_saemankumensis_DSM_17032,NZ_AUDV00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Galbibacter_sp._ck_I2_15,NZ_AMSG00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Gelidibacter_mesophilus_DSM_14095,NZ_AUHD00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Gillisia_sp._CAL575,SAMN02471749,NA,GCA_000403785.1,SAMN02471749,PRJNA191085
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Gramella_forsetii_KT0803,NC_008571,NA,GCA_000060345.1,SAMEA2272667,PRJEA19061
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Imtechella_halotolerans_K1,NZ_AJJU00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Joostella_marina_En5_DSM_19592,NZ_AJUG00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Kordia_algicida_OT_1_unfinished_sequence,NZ_ABIB00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Krokinobacter_sp._4H_3_7_5,NC_015496,NA,GCA_000212355.1,SAMN00713609,PRJNA62895
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Lacinutrix_sp._5H_3_7_4,NC_015638,NA,GCA_000211855.3,SAMN00713635,PRJNA62899
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Leeuwenhoekiella_blandensis_MED217,NZ_AANC00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Lutibacter_sp._Hel_I_33_5,CP013355,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Mesoflavibacter_zeaxanthinifaciens_DSM_18436,NZ_AULQ00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Mesonia_mobilis_DSM_19841,NZ_AUHX00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Muricauda_ruestringensis_B1_DSM_13258,NC_015945,NA,GCA_000224085.1,SAMN02232041,PRJNA52467
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Myroides_odoratimimus_CCUG_12700,SAMN02596777,NA,GCA_000413415.1,SAMN02596777,PRJNA52191
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Olleya_sp._Hel_I_94,SAMN02982923,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Ornithobacterium_rhinotracheale_DSM_15997,NC_018016,NA,GCA_000265465.1,SAMN02261366,PRJNA50745
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter_sp._MED152,NC_020830,NA,GCA_000152945.2,SAMN02603920,PRJNA13543
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Psychroflexus_gondwanensis_ACAM_44,NZ_APLF00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Riemerella_anatipestifer_RA_CH_2,NC_020125,NA,GCA_000331695.1,SAMN02602992,PRJNA183917
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Robiginitalea_biformata_HTCC2501,NC_013222,NA,GCA_000024125.1,SAMN02603916,PRJNA13461
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Salegentibacter_sp._Hel_I_6,NZ_JQNQ00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Salinimicrobium_xinjiangense_DSM_19287,NZ_AUIG00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Sediminibacter_sp._Hel_I_10,NZ_JHZX00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Sinomicrobium_oceani_CGMCC_1.12145,SAMN02927921,NA,GCA_900119185.1,SAMN02927921,PRJEB17756
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Tenacibaculum_ovolyticum_DSM_18103,NZ_AUMF00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Weeksella_virosa_DSM_16922,NC_015144,NA,GCA_000189415.1,SAMN00713585,PRJNA50581
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Winogradskyella_psychrotolerans_RS_3,NZ_ATMR00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Zhouia_amylolytica_AD3,NZ_AYXY00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Zobellia_uliginosa_MAR_2009_138,NZ_JQMD00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Zunongwangia_profunda_SM_A87,NC_014041,NA,GCA_000023465.1,SAMN02603855,PRJNA38641
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriales_bacterium_HTCC2170,NC_014472,NA,GCA_000153165.2,SAMN02603923,PRJNA13595
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Balneola_vulgaris_DSM_17893,NZ_AQXH00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Chitinophaga_pinensis_DSM_2588,NC_013132,NA,GCA_000024005.1,SAMN00001914,PRJNA27951
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Gracilimonas_tropica_DSM_19535,NZ_AQXG00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Niabella_soli_JS13_8_DSM_19437,NZ_CP007035,NA,GCA_000243115.3,SAMN02261390,PRJNA61269
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Niastella_koreensis_GR20_10_DSM_17620,NC_016609,NA,GCA_000246855.1,SAMN02232043,PRJNA42711
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Segetibacter_koreensis_DSM_18137,NZ_ARFB00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Terrimonas_ferruginea_DSM_30193,NZ_AUDS00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Saprospiraceae_Aureispira_sp._CCB_QB1,NZ_JHBV00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Saprospiraceae_Haliscomenobacter_hydrossis_O_DSM_1100,NC_015510,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Saprospiraceae_Lewinella_cohaerens_DSM_23179,NZ_ARBR00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Saprospiraceae_Saprospira_grandis_Lewin,NC_016940,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Arcticibacter_svalbardensis_MN12_7,NZ_AQPN00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Mucilaginibacter_paludis_TPT56_DSM_18603,NZ_CM001403,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Olivibacter_sitiensis_DSM_17696,NZ_ATZA00000000,NA,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Pedobacter_saltans_DSM_12145,NC_015177,NA,GCA_000190735.2,SAMN00103626,PRJNA49337
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Pseudosphingobacterium_domesticum_DSM_18733,PRJNA262313,55175,NA,NA,NA
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Solitalea_canadensis_USAM_9D_DSM_3403,NC_017770,NA,GCA_000242635.3,SAMN02232052,PRJNA60421
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Sphingobacterium_sp._21,NC_015277,NA,GCA_000192845.1,SAMN00713594,PRJNA51631
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_unclassified_Bacteroidetes_Prolixibacter_bellariivorans_ATCC_BAA_1284,SAMN02744005,NA,GCA_000621705.1,SAMN02744005,PRJNA223119
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_Chlorobaculum_parvum_NCIB_8327,NC_011027,NA,GCA_000020505.1,SAMN02598460,PRJNA29213
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_ChlorobiumPelodictyon_group_Chlorobium_chlorochromatii_CaD3,NC_007514,NA,GCA_000012585.1,SAMN02598328,PRJNA13921
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_ChlorobiumPelodictyon_group_Pelodictyon_luteolum_DSM_273,NC_007512,NA,GCA_000012485.1,SAMN02598284,PRJNA13012
