SRA Experiment Accession,Experiment Title,Instrument Model,Library Layout,Library Source,Sample Attribute,Study Accession,Study Title,Submission Center,Submission Date,Submission Lab,Taxon Id,Updated Date,Nucleotide Count,Read Count,Assembly L50,Assembly N50,CLC Bubble Size,CLC Word Size,Mapped Reads (%),Assembled Bases,Assembled Contigs,Assembled Scaffolds,MetaBAT Bins,MetaBAT Preset,Near-complete Genomes,Medium-quality Genomes,Partial Genomes,Archaeal Genomes,Archaeal PD,Archaeal PG,Bacterial Genomes,Bacterial PD,Bacterial PG
ERX556058,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 172;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,36765703031,375051042,12787,4107,50,25,63.92,203473242,94231,50407,64,superspecific,2,3,0,0,0,0,3,0.20%,0.02%
ERX556059,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 175;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,33618784181,338943134,15766,4421,50,25,54.92,278275980,117750,65425,110,superspecific,2,2,2,3,0.99%,0.00%,3,0.20%,0.02%
ERX556060,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 175;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,37057934380,374127914,19205,4015,50,25,61.48,291303577,136540,73228,97,superspecific,1,3,2,2,0.58%,0.02%,3,0.19%,0.00%
ERX556062,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 183;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,33917602530,342398030,18138,3943,50,25,61.81,260726066,122946,66677,101,veryspecific,2,0,1,0,0,0,2,0.15%,0.01%
ERX556063,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 170;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,31587649343,318356102,13172,3715,50,25,52.48,180352148,89642,47735,81,superspecific,1,2,0,1,0.00%,0.00%,1,0.00%,0.00%
ERX556065,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 161;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,17316759463,175548880,6767,3883,50,25,44.11,99161417,40401,25468,37,superspecific,0,1,0,1,0.00%,0.02%,0,0,0
ERX556068,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 172;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,33468984338,337711862,13991,3889,50,25,49.85,196908974,91692,50993,87,superspecific,1,1,0,0,0,0,1,0.00%,0.04%
ERX556070,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 167;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,40972598148,417176234,14025,4036,50,25,52.53,213284745,94849,53617,90,veryspecific,1,2,0,0,0,0,3,0.04%,0.00%
ERX556075,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 175;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,39203419457,399275044,14656,4036,50,25,43.34,218790369,107944,55245,80,verysensitive,2,3,0,1,0.00%,0.00%,3,0.17%,0.00%
ERX556078,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 179;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,17746855829,182383086,5835,5287,50,25,69.28,149562113,52403,30977,76,superspecific,4,6,3,1,0.00%,0.00%,9,0.40%,0.00%
ERX556083,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 170;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,38144459509,388065794,10842,3941,50,25,43.68,180077216,77967,44777,72,superspecific,3,1,0,0,0,0,0,0,0
ERX556088,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 178;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,39914333494,412161062,8950,3879,50,25,14.61,126828551,75939,32873,37,superspecific,0,2,1,1,0.00%,0.00%,1,0.00%,0.00%
ERX556090,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 179;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,40655864172,423721280,12584,3839,50,25,44.01,187554060,95559,48260,90,veryspecific,2,3,5,0,0,0,9,0.42%,0.07%
ERX556091,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 178;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,19230818886,195810696,7938,3701,50,25,42.37,102831634,56828,27677,46,superspecific,0,0,2,2,0.43%,0.00%,0,0,0
ERX556094,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 178;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,33019530874,333427578,11023,4279,50,25,54.63,198860304,86161,47257,82,superspecific,3,2,0,1,0.00%,0.05%,3,0.21%,0.05%
ERX556098,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 172;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,35853975643,365927614,12413,4691,50,25,67.78,240744634,109274,54480,118,superspecific,0,3,1,2,0.72%,0.17%,1,0.00%,0.00%
ERX556101,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 180;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,34724751061,352030928,16691,4809,50,25,52.75,324003018,134935,72526,90,veryspecific,0,3,1,3,0.50%,0.02%,1,0.00%,0.00%
ERX556103,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 173;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,30926232458,311581824,15052,4412,50,25,58.09,259556339,106502,61380,95,superspecific,1,5,4,5,1.22%,0.06%,5,0.35%,0.00%
ERX556105,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 168;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,32075213247,324241924,10422,3898,50,25,22.14,149066872,69598,38460,48,superspecific,0,1,2,1,0.00%,0.01%,2,0.05%,0.00%
ERX556106,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 168;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,34045994384,342278366,12650,4028,50,25,51.18,200373205,84291,49947,67,veryspecific,0,4,2,1,0.00%,0.04%,5,0.41%,0.03%
ERX556108,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 168;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,33529892640,339721848,15904,4847,50,25,49.43,342327321,119873,75263,147,superspecific,5,4,1,2,1.19%,0.25%,5,0.36%,0.07%
ERX556112,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 174;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,19407602934,198402976,5197,4062,50,25,34.37,99248304,40059,23770,55,veryspecific,3,4,2,0,0,0,7,0.37%,0.04%
ERX556114,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 169;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,40054972110,407894524,13047,3862,50,25,47.19,195991385,82667,50213,91,superspecific,2,3,1,0,0,0,4,0.26%,0.02%
ERX556119,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 180;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,24173377994,250528632,9708,3990,50,25,41.76,148668586,78199,37512,74,superspecific,0,0,0,0,0,0,0,0,0
ERX556121,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 170;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,36849297558,370334582,17654,4041,50,25,58.04,265726321,111588,66813,137,superspecific,0,1,0,0,0,0,1,0.00%,0.00%
ERX556123,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 173;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,38254182062,389234468,14622,4101,50,25,49.29,230437764,97020,57055,111,superspecific,3,3,0,0,0,0,3,0.23%,0.03%
ERX556126,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 181;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,33651563993,342284306,9193,5996,50,25,52.03,292475727,98785,56595,113,veryspecific,5,8,2,6,1.56%,0.16%,7,0.47%,0.04%
ERX556127,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 170;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,45732077259,460647798,13392,3874,50,25,49.8,186572041,97955,48573,62,veryspecific,0,1,0,1,0.00%,0.00%,0,0,0
ERX556129,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 179;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,28948356295,291429494,11079,3653,50,25,48.55,140377394,73181,38096,52,veryspecific,0,2,0,2,0.64%,0.03%,0,0,0
ERX556130,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 169;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,37390906215,377820080,11892,4295,50,25,64,207004159,90464,49562,70,superspecific,4,2,0,1,0.00%,0.01%,5,0.29%,0.03%
ERX556133,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 170;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,31916527125,326077190,7610,4261,50,25,72.8,127299038,56154,30734,45,veryspecific,0,0,0,0,0,0,0,0,0
ERX556134,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 183;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,29552159601,297815870,9172,5272,50,25,54.38,241850455,90772,50302,86,verysensitive,6,6,3,4,0.84%,0.03%,7,0.42%,0.02%
ERX556137,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 168;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,31941270725,321797088,12156,3821,50,25,51.13,183244016,84332,46855,86,superspecific,3,1,0,0,0,0,2,0.15%,0.00%
ERX556139,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 173;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,None,408172,8/21/15,32263640743,331578716,11927,5860,50,25,55.24,296628188,103476,59217,128,superspecific,2,9,2,1,0.00%,0.02%,11,0.44%,0.08%
ERX556299,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 422;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,13162238738,133841438,4526,5954,50,24,75.17,126695872,67039,24564,81,superspecific,2,0,0,0,0,0,1,0.00%,0.00%
ERX556300,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 445;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9820554591,102506134,3354,7736,50,24,64.21,154970036,86412,25688,54,superspecific,9,1,0,0,0,0,4,0.25%,0.02%
ERX556301,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 458;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9090696039,96161470,2098,6813,50,24,54.89,104672476,63408,18562,31,superspecific,6,0,0,0,0,0,3,0.15%,0.00%
ERX556302,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 462;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9269827561,95232394,3258,6045,50,24,76.92,88510204,55629,17140,41,superspecific,0,1,0,0,0,0,1,0.00%,0.00%
ERX556303,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 462;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9009184703,94440510,4430,4981,50,24,61.9,87097850,67610,19205,43,superspecific,0,0,0,0,0,0,0,0,0
ERX556305,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 427;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9980811786,102845312,2819,8597,50,24,83.48,128746573,64542,20810,62,superspecific,3,4,0,0,0,0,2,0.06%,0.00%
ERX556306,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 540;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,2525620012,26892968,2051,4216,50,23,48.59,32186981,22141,7882,19,superspecific,0,0,0,0,0,0,0,0,0
ERX556307,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 412;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9105695782,93781526,2402,6940,50,24,79.42,82816042,47954,14838,45,superspecific,1,1,0,0,0,0,1,0.00%,0.00%
ERX556308,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 421;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,8862339412,95456194,3577,8738,50,24,59.99,171664244,97012,27181,62,superspecific,3,1,0,0,0,0,2,0.14%,0.01%
ERX556309,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 410;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9381708631,97663452,1970,10004,50,24,69.53,135098580,60759,20602,50,superspecific,7,3,0,0,0,0,3,0.17%,0.01%
ERX556310,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 486;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9860964424,102166560,3706,7525,50,24,57.9,142821160,89046,24768,72,superspecific,2,0,0,0,0,0,1,0.00%,0.00%
ERX556311,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 445;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,11451557335,120037536,3295,6519,50,24,73.14,111540686,54552,20568,57,superspecific,4,0,0,0,0,0,1,0.00%,0.00%
ERX556312,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 484;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,8020864059,82514022,2702,7597,50,24,75.17,108834726,60982,18692,65,superspecific,2,1,0,0,0,0,0,0,0
ERX556313,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 475;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,8131731859,83338338,4076,6908,50,24,70.74,135259473,77283,24361,77,superspecific,3,0,0,0,0,0,1,0.00%,0.00%
ERX556314,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 393;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,10776948137,111471638,2513,10044,50,24,85.84,129230327,52764,19176,56,superspecific,5,2,0,0,0,0,4,0.19%,0.00%
ERX556315,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 430;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,10466213978,107092254,5248,6219,50,24,69.13,157998715,88437,29826,63,veryspecific,4,1,0,0,0,0,2,0.13%,0.00%
ERX556317,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 430;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,7522910439,76712752,3169,6260,50,24,71.03,96239535,55999,18198,64,superspecific,2,0,0,0,0,0,1,0.00%,0.00%
ERX556318,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 421;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,10974064619,115822676,2006,12171,50,24,79.3,136235294,58422,18022,58,superspecific,5,2,1,0,0,0,6,0.23%,0.01%
ERX556319,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 452;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,8070739257,83920264,3758,6166,50,24,58.35,116840270,76910,22334,40,superspecific,2,1,0,0,0,0,0,0,0
ERX556320,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 450;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,1771218971,19531128,638,11547,50,22,43.55,34329049,18277,4895,15,superspecific,0,0,1,0,0,0,1,0.00%,0.00%
ERX556322,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 413;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9876777817,104441062,2495,7489,50,24,73.75,111116309,55602,18955,44,superspecific,6,1,0,0,0,0,3,0.21%,0.01%
ERX556323,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 417;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9698859578,101986056,1135,15336,50,24,77.8,112308730,44469,14534,32,superspecific,6,1,1,0,0,0,3,0.14%,0.00%
ERX556324,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 406;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,8456968802,86921234,3346,5048,50,24,70.44,69706789,40467,15185,38,superspecific,1,0,0,0,0,0,0,0,0
ERX556325,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 400;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9176363351,97121250,2892,6791,50,24,57.55,106020444,53235,19397,35,veryspecific,4,2,0,0,0,0,0,0,0
ERX556326,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 456;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,11780852331,121191220,6017,4866,50,24,61.27,118904016,76105,26395,59,superspecific,0,1,0,0,0,0,0,0,0
ERX556327,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 454;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,10819994340,112802278,5346,5800,50,24,62.4,146953653,98619,29139,62,superspecific,3,1,0,0,0,0,3,0.18%,0.00%
ERX556328,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 456;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,8872953381,92242804,1559,7316,50,24,84.29,63087188,37410,10968,33,superspecific,1,1,0,0,0,0,0,0,0
ERX556329,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 344;,METAGENOMIC,Failed to decode,ERP003708,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for DNA viruses,GSC,None,None,408172,8/21/15,9772972348,103921448,2033,6684,50,24,69.12,78193033,33956,13876,30,superspecific,3,1,0,0,0,0,3,0.20%,0.00%
